,0
3346,Otacon
3347,Interlingual machine translation
3348,Morph target animation
3349,Pixel shift
3350,Endomicroscopy
3351,Cardiovascular technologist
3352,Robotis Bioloid
3353,Lamina emergent mechanism
3354,The Hitchhiker's Guide to the Galaxy (fictional)
3355,The Misses Vickers
3356,JEDMICS
3357,Gigapixel image
3358,Audification
3359,Association for Unmanned Vehicle Systems International
3360,WinComm
3361,Drag and drop
3362,Weave (protocol)
3363,Binocular vision
3364,Necroevolution
3365,Accione
3366,Computer Vision Center
3367,Imagination age
3368,Word error rate
3369,Mike Cooley (engineer)
3370,Robotic materials
3371,The Long Earth
3372,Caret navigation
3373,Knight of the Phoenix
3374,Contract Net Protocol
3375,Bayesian programming
3376,Fei-Fei Li
3377,P convention
3378,Spare Change Payments
3379,Endgame tablebase
3380,Viseme
3381,Emotion-sensitive software
3382,Generalized filtering
3383,The Stepford Children
3384,Intel 8284
3385,Elephant clock
3386,Fraunhofer Institute for Applied Optics and Precision Engineering
3387,How About A Nice Game of Chess?
3388,Smart toy
3389,CCIR 476
3390,URI fragment
3391,3D printing filament
3392,LeanXcam
3393,Turnaround document
3394,Mark Tilden
3395,RealityCapture
3396,Ropid
3397,Robosaurus
3398,HAtom
3399,2025 Jaane Kya Hoga Aage
3400,Darwin (programming game)
3401,Image sensor format
3402,BulPosCor
3403,IOIO
3404,Typhoon (simulator)
3405,Mercedes-Benz Bionic
3406,Moore machine
3407,Ease of Access
3408,3DFLOW
3409,Scratch monkey
3410,Astro Boy
3411,Algebraic code-excited linear prediction
3412,Ensemble learning
3413,AV1
3414,Unisolvent functions
3415,Ontic
3416,Acylurea
3417,RAVON
3418,National Robotics Engineering Center
3419,Space Shuttle Mission 2007
3420,RepRap Snappy
3421,A History of the Mind
3422,Time-domain holography
3423,Hand-colouring of photographs
3424,Portal 2
3425,Kantai Collection
3426,Nimslo
3427,Witness set
3428,Cyborg 2
3429,PLOKTA
3430,Cocoa Touch
3431,Body identification
3432,Ricochet Robot
3433,Implicit surface
3434,ISPRS Journal of Photogrammetry and Remote Sensing
3435,Isodiazomethane
3436,DBSCAN
3437,Abell 478
3438,Mating pool
3439,Robotics conventions
3440,Backpropagation through time
3441,Austin Henderson
3442,8250 UART
3443,Programmable Cricket
3444,Pointer (user interface)
3445,Schema (genetic algorithms)
3446,GLIMMER
3447,Gait analysis
3448,Maelzel's Chess Player
3449,Robotics middleware
3450,Software widget
3451,AlphaGo Zero
3452,Stacheldraht
3453,The Matrix
3454,Binary classification
3455,Application-Level Profile Semantics (ALPS)
3456,Sama (company)
3457,FS-1016
3458,Honda P series
3459,Amplitude of low frequency fluctuations
3460,Lidar
3461,Jorgensen Engineering
3462,C. Raymond Perrault
3463,Big mechanism
3464,Anthropometry
3465,Scrapbook (Mac OS)
3466,Imine
3467,RoboCup
3468,Gradually varied surface
3469,Bluefin-21
3470,Implicit Shape Model
3471,Human Universal Load Carrier
3472,Enthiran
3473,Martha E. Pollack
3474,Peripheral nerve interface
3475,Oversampled binary image sensor
3476,David A. Smith (computer scientist)
3477,Dragon Dictation
3478,Telluroketone
3479,Innovative Timing Systems
3480,Visual inspection
3481,ANIMAL (image processing)
3482,Dominance-based rough set approach
3483,Facebook Graph Search
3484,MeVisLab
3485,Natural Color System
3486,Doo–Sabin subdivision surface
3487,Foundation for Intelligent Physical Agents
3488,Spotsetter
3489,Thiosemicarbazone
3490,Alan Rector
3491,Henry Kautz
3492,Computer-assisted reviewing
3493,High Efficiency Video Coding
3494,Bristol Robotics Laboratory
3495,User experience evaluation
3496,Kiwaian languages
3497,Robots in literature
3498,Computer-induced medical problems
3499,Linda Shapiro
3500,Social problem-solving
3501,Virtual crime
3502,WordSmith (software)
3503,State space planning
3504,Bill Buxton
3505,Infinite compositions of analytic functions
3506,History of robots
3507,Gas Gang
3508,The Interactive Encyclopedia System
3509,The Lazarus Effect (novel)
3510,"Abort, Retry, Ignore, Fail?"
3511,SpeechWeb
3512,Power Thesaurus
3513,Detailed balance
3514,Chinookan languages
3515,Deep Blue versus Garry Kasparov
3516,Digit ratio
3517,BRENDA tissue ontology
3518,W. Ross Ashby
3519,Claudico
3520,Direct Graphics Access
3521,Sentilo Platform
3522,Death Metal (comics)
3523,Voice user interface
3524,"Cut, copy, and paste"
3525,AIVA
3526,Cover system
3527,Interactive media
3528,Эль-76
3529,Earcon
3530,North Halmahera languages
3531,Seeland (Switzerland)
3532,Law and Corpus Linguistics
3533,Virginia Dignum
3534,Push the Talking Trash Can
3535,Feature (machine learning)
3536,YaDICs
3537,Chessboard detection
3538,Manually Annotated Sub-Corpus
3539,Argument mining
3540,Albert T. Corbett
3541,Standard Reference Method
3542,Layers (digital image editing)
3543,Extended reality
3544,CVIPtools
3545,Family Inada
3546,DeviceKit
3547,BIRCH
3548,Partial function
3549,Tomotaka Takahashi
3550,All Is Full of Love
3551,Human-Computer Interaction Institute
3552,Glass OS
3553,Epitome (data processing)
3554,MessagEase
3555,Product of exponentials formula
3556,PAM graphics format
3557,Ternary relation
3558,Maiduan languages
3559,The Family of the Infante Don Luis
3560,Semantic analysis (machine learning)
3561,Human–machine system
3562,California Coastal Records Project
3563,Local independence
3564,Branimir Makanec
3565,Michael Chorost
3566,International Computer Archive of Modern and Medieval English
3567,Cortana
3568,Stairstep interpolation
3569,Blocks world
3570,FEDOR (robot)
3571,Space telescope
3572,Word2vec
3573,Renjin
3574,AdaBoost
3575,"IISc Guidance, Control and Decision Systems Laboratory"
3576,Geminoid
3577,Procedural modeling
3578,NGC 68 group
3579,Decision boundary
3580,Mouse button
3581,Myron W. Krueger
3582,Gigapxl Project
3583,Boarding pass
3584,Gastrobot
3585,Complex wavelet transform
3586,Open Rights Group
3587,Knowledge integration
3588,Meme
3589,Peter Flach
3590,Non-negative matrix factorization
3591,Hypomimia
3592,Visual Interactive Voice Response
3593,Jaron Lanier
3594,Lough Erne
3595,Frederick Jelinek
3596,Collective motion
3597,Computed Corpuscle Sectioning
3598,Holger H. Hoos
3599,Cyberith Virtualizer
3600,Handsome Jack
3601,Robert S. Boyer
3602,Beanie Babies
3603,Von Neumann universal constructor
3604,2-plan project management software
3605,K q-flats
3606,Abell 1835
3607,Zion (The Matrix)
3608,Optical granulometry
3609,TuVox
3610,History of numerical control
3611,Maslow CNC
3612,Secom
3613,Project 2501
3614,Pneumatic artificial muscles
3615,Ape index
3616,4G
3617,Sentiment analysis
3618,Interactive skeleton-driven simulation
3619,Curvilinear perspective
3620,IMS VDEX
3621,Avida
3622,Negation normal form
3623,Soft climate change denial
3624,Farrow & Ball
3625,Castle in the Sky
3626,LifeClipper
3627,Felix Gers
3628,Constructive solid geometry
3629,Hoyle's Official Book of Games
3630,Association for Computational Linguistics
3631,Mobileye
3632,RuleML Symposium
3633,Flix (programming language)
3634,Mr. Robot and His Robot Factory
3635,Nvidia Drive
3636,David Levy (chess player)
3637,Alternating finite automaton
3638,Colossus Draughts
3639,Abell 2744
3640,Haloketone
3641,OASIS (organization)
3642,Population process
3643,Comparison of deep-learning software
3644,Meta-optimization
3645,Large workspace robot
3646,Microsoft Band 2
3647,Vanillyl group
3648,Matthew Turk
3649,TechJect Dragonfly UAV
3650,Semantic HTML
3651,MAX-3SAT
3652,Dextre
3653,Affine shape adaptation
3654,Haro (character)
3655,Yu-Gi-Oh! GX Tag Force 2
3656,Enterprise cognitive system
3657,Karen McGrane
3658,Reboundtag
3659,Eight-point algorithm
3660,The New Cool (book)
3661,DLV
3662,Nokia Lumia 920
3663,Insight Segmentation and Registration Toolkit
3664,HDCI
3665,Geometric feature learning
3666,Robby Garner
3667,Drew McDermott
3668,QT Luong
3669,Image-based modeling and rendering
3670,Spiral optimization algorithm
3671,Chinook (computer program)
3672,Hue
3673,Cisco Webex
3674,Local ternary patterns
3675,RailRadar
3676,MIDAS Technical Analysis
3677,Ben Shneiderman
3678,Z-Wave
3679,Ttyrec
3680,Kim Binsted
3681,Awesome Android
3682,BCI2000
3683,Data mining in agriculture
3684,Semantic network
3685,Responsive computer-aided design
3686,Oxaziridine
3687,Ted Kenney
3688,Session Initiation Protocol
3689,Google Cloud Search
3690,Native-language identification
3691,Pointr
3692,Arabic keyboard
3693,Linguistic empathy
3694,Larch Prover
3695,Imidic acid
3696,Ablation (artificial intelligence)
3697,Machine translation of sign languages
3698,Amazon Scout
3699,Transmitter hunting
3700,ISO/IEC 18000
3701,Uncle Simon
3702,Magic Bytes
3703,UTF-32BE
3704,Eugene Goostman
3705,Smart card
3706,Outer Touch
3707,Alignments of random points
3708,Negation as failure
3709,Binary constraint
3710,Frrole
3711,Kristinn R. Thórisson
3712,Centaurus A/M83 Group
3713,Urology robotics
3714,Language Icon
3715,Ergonomics in Canada
3716,Nokia E75
3717,Spectromancer
3718,Gizmo (Mirage Studios)
3719,Prodikeys
3720,Microsoft ergonomic keyboards
3721,Robby the Robot
3722,Aquarius (LMD)
3723,Responsive web design
3724,Phototrope
3725,Roborior
3726,YARP
3727,OMPL
3728,Xsens
3729,Disjunctive sequence
3730,Crisis on Earth-X
3731,Theory of narrative thought
3732,Nebuchadnezzar (The Matrix)
3733,Solid modeling
3734,Direct linear transformation
3735,Microsoft Flight Simulator (2020 video game)
3736,.nrw
3737,Banner blindness
3738,Mechagodzilla
3739,5DX
3740,GraphLab
3741,Dynabook
3742,Windows Camera
3743,Centibots
3744,Unmanned ground combat vehicle
3745,Haptic suit
3746,Murata Boy and Murata Girl
3747,ALOPEX
3748,Boris Katz
3749,Automatic Language Translator
3750,The Eye of Judgment
3751,Microbial DNA barcoding
3752,Heikki Mannila
3753,Milbeaut
3754,Rock Is Dead (Marilyn Manson song)
3755,Strong emergence
3756,Chachamaru Karakuri
3757,Hajime (malware)
3758,Anytime algorithm
3759,Contact region
3760,Smart products
3761,Abell 400
3762,Dogon languages
3763,Active Intelligence Pte Ltd
3764,ELIZA
3765,SpaceOrb 360
3766,Incomplete Nature
3767,FMRIB Software Library
3768,SABLE
3769,Poisson wavelet
3770,Ambient device
3771,Aikuma
3772,Turkic languages
3773,Automatika
3774,Mr Hublot
3775,Pauwasi languages
3776,GIDS Shahpar
3777,José Mauro Volkmer de Castilho
3778,Color killer
3779,DPLL algorithm
3780,Bredolab botnet
3781,Jack (Tekken)
3782,Recorder 451
3783,Holographic display
3784,CAREN
3785,Aerial photographic and satellite image interpretation
3786,Stanford arm
3787,Lexical substitution
3788,Tehran Monolingual Corpus
3789,Delayed Auditory Feedback
3790,The Terminal Man (film)
3791,Generalized Hebbian algorithm
3792,One-Net
3793,VisionMap A3 Digital Mapping System
3794,Mirndi languages
3795,3D printing speed
3796,Optical head-mounted display
3797,Predicate variable
3798,Cerebellar model articulation controller
3799,Energid Technologies
3800,Abell 3412
3801,Reductone
3802,Metal (song)
3803,Unification (computer science)
3804,Passive Wi-Fi
3805,And–or tree
3806,Histogram of oriented displacements
3807,Baldr Sky
3808,Douglas Engelbart
3809,Batch normalization
3810,Ichigeki Sacchu!! HoiHoi-san
3811,I-CubeX
3812,Cyberspace
3813,Sycamore processor
3814,We Appreciate Power
3815,Parallel manipulator
3816,Studies in Natural Language Processing
3817,Promoter based genetic algorithm
3818,Participatory ergonomics
3819,Surmic languages
3820,Gremlin (query language)
3821,Tin Man (miniseries)
3822,Medabots AX
3823,CLEVER score
3824,Uncertain data
3825,LaTurbo Avedon
3826,RoboCop (character)
3827,Sara Imari Walker
3828,Dispersive flies optimisation
3829,Lockheart Indigo
3830,Mac Hack
3831,Mobile computing
3832,Minimum information about a simulation experiment
3833,Amide
3834,The Assembly at Wanstead House
3835,Auton
3836,V'Ger
3837,Swoogle
3838,Wavelet transform modulus maxima method
3839,Chess as mental training
3840,Equifax Workforce Solutions
3841,Leela Chess Zero
3842,Terminator Salvation (comics)
3843,AEE UAV
3844,Filter bank
3845,Freddy Fazbear's Pizzeria Simulator
3846,Insectothopter
3847,CallMiner
3848,Agent-based model in biology
3849,Lumivascular
3850,Van Hare Effect
3851,Low poly
3852,Traffic-sign recognition
3853,CAVEman
3854,Data exploration
3855,AUTINDEX
3856,CONN (functional connectivity toolbox)
3857,CBEFF
3858,Levenshtein automaton
3859,Range segmentation
3860,Intel 8279
3861,Terminal emulator
3862,Categorial grammar
3863,Keras
3864,Rescue robot
3865,Hal Abelson
3866,Information foraging
3867,Vortex (software)
3868,Foveated imaging
3869,Causality (book)
3870,Sinewave synthesis
3871,Organ printing
3872,Pheme (project)
3873,Operational artificial intelligence
3874,Icey
3875,Text entry interface
3876,.pnm
3877,HCalendar
3878,Vlad Trifa
3879,RXNO Ontology
3880,Code-excited linear prediction
3881,Simprints
3882,Sulfonyl halide
3883,SIGCHI
3884,Stationary sequence
3885,Todor Georgiev
3886,ArtBots
3887,Symbrion
3888,Singularitarianism
3889,MOPy fish
3890,FORAN System
3891,LUTZ Pathfinder
3892,Nexiona Connectocrats
3893,Lexulous
3894,Sea Robin XFC
3895,Video teleconferencing unit
3896,Richard Gregory
3897,Quick Menu
3898,SAS (software)
3899,Eight Off
3900,Silent Talker Lie Detector
3901,Sheelagh Carpendale
3902,GramTrans
3903,Rollover (key)
3904,Internet hunting
3905,Business analytics
3906,Human factors and ergonomics
3907,H.225.0
3908,Page Hunt
3909,One-class classification
3910,Steen Rasmussen (physicist)
3911,Shelter (music video)
3912,Spaceballs
3913,Poker Face Paul
3914,AGX Multiphysics
3915,OMDoc
3916,Siftable
3917,Web usability
3918,Archy
3919,CombineZ
3920,User error
3921,Differential geometry
3922,Robotic prosthesis control
3923,Deep belief network
3924,Juliana Tainer
3925,Automatic identification and data capture
3926,Thesaurus Linguae Latinae
3927,Kyiv Laboratory for Artificial Intelligence
3928,Gray card
3929,Deathlok
3930,Semantic Geospatial Web
3931,Carbon monoxide detector
3932,ESP8266
3933,Group method of data handling
3934,Rover (space exploration)
3935,Carbodiimide
3936,Internationalization and localization
3937,ONTAP
3938,Holus
3939,Drive.ai
3940,WolframAlpha
3941,XM1219 Armed Robotic Vehicle
3942,Imaging phantom
3943,Journal of Spatial Science
3944,Aaron Halfaker
3945,VMRay
3946,Contextual Query Language
3947,European Institute for Biomedical Imaging Research
3948,Basic Formal Ontology
3949,Powerset (company)
3950,Tput
3951,Catacaoan languages
3952,Alice Cares
3953,Induction of regular languages
3954,Blade Runner (a movie)
3955,ICade
3956,Exposing to the right
3957,Azoxy
3958,Neugebauer equations
3959,Lost in hyperspace
3960,Lübke English
3961,Wolf Robotics
3962,Virtual Reality and Education Laboratory
3963,Rashad languages
3964,Apache SystemML
3965,Hurro-Urartian languages
3966,.swf
3967,Doraemon
3968,BINA48
3969,Poor posture
3970,Diffusion map
3971,NODE (wireless sensor)
3972,Code of the Lifemaker
3973,Argument map
3974,Reality
3975,Historypin
3976,Computer-assisted surgery
3977,Stereopsis
3978,Plankalkül
3979,Graphical lasso
3980,Macroglossa Visual Search
3981,Trochoidal wave
3982,Orthophoto
3983,Industrial internet of things
3984,Spline interpolation
3985,.rw2
3986,Trust (electronics company)
3987,Organic acid anhydride
3988,Voxeljet
3989,Naftali Tishby
3990,Digital image correlation and tracking
3991,DataHand
3992,Virtual reality therapy
3993,XBoard
3994,Degrees of freedom (mechanics)
3995,SpicyNodes
3996,Stan Franklin
3997,ToggleKeys
3998,David De Roure
3999,Navigation mesh
4000,Tom M. Mitchell
4001,SpiNNaker
4002,Busou Shinki
4003,Pure Chess
4004,AI Dungeon
4005,Neuroevolution
4006,RoboWar
4007,Sawfish harvester
4008,R2ML
4009,WASP-16
4010,Making Mr. Right
4011,Springer (vehicle)
4012,Charles Irby
4013,BraunAbility
4014,Jock D. Mackinlay
4015,TAROT-South robotic observatory
4016,DelFly
4017,Two-way finite automaton
4018,Simulated consciousness in fiction
4019,Lillian Lee (computer scientist)
4020,Kadir–Brady saliency detector
4021,Andrew Blake (scientist)
4022,Roboteer
4023,Apache OpenNLP
4024,KGYS (urban safety management system)
4025,Rama (video game)
4026,Robot kinematics
4027,Graph cuts in computer vision
4028,Medabots
4029,Medical CSCW
4030,Abell 2390
4031,NGC 7331 Group
4032,Roboty
4033,Little Battlers Experience
4034,Isodiazene
4035,Chinese whispers (clustering method)
4036,INSPASS
4037,Openlab
4038,Standing chair
4039,Tracking trial
4040,RWTH FSA Toolkit
4041,Navya SAS
4042,Portal (video game)
4043,Devar Entertainment
4044,HexInput
4045,Apple Mouse
4046,JaCoP (solver)
4047,Predictions made by Ray Kurzweil
4048,Punched card input/output
4049,Document layout analysis
4050,Machine translation in China
4051,International Conference on Language Resources and Evaluation
4052,Ellen Hildreth
4053,Beta normal form
4054,Goggles
4055,Ahegao
4056,Factor analysis
4057,Feature engineering
4058,Journal of Cognitive Engineering and Decision Making
4059,Ball tree
4060,Nuance Communications
4061,Actor-Lab
4062,Edge-preserving smoothing
4063,Variation diminishing property
4064,Traffic enforcement camera
4065,Shape from focus
4066,Frankissstein
4067,Eric Horvitz
4068,Satplan
4069,Subaru TransCare
4070,"Afternoon, a story"
4071,Gene prediction
4072,Frederick Charles Victor Laws
4073,KNX (standard)
4074,St. John Publications
4075,Automatic equipment identification
4076,Premature convergence
4077,Information gain in decision trees
4078,Java Evolutionary Computation Toolkit
4079,Radiomics
4080,Polaris (poker bot)
4081,Code Lyoko (video game)
4082,D.I.C.E.
4083,Divisibility sequence
4084,MACS J0647.7+7015
4085,Jean Serra
4086,ATOK
4087,Triazenes
4088,Grassmann's laws (color science)
4089,LIFER/LADDER
4090,Kill Command
4091,Galaxy group
4092,Mirial s.u.r.l.
4093,Rui de Figueiredo
4094,Digimask
4095,Midea Group
4096,Deep Learning Studio
4097,Digital Automated Identification System
4098,AliGenie
4099,The OMAC Project
4100,Intelligence amplification
4101,Habbo
4102,BFR algorithm
4103,Virtual reality headset
4104,Les Racines du mal
4105,Dual consciousness
4106,Finitary relation
4107,ARCore
4108,HyperACCESS
4109,John Oommen
4110,Disability robot
4111,Knight Rider (2008 film)
4112,OpenHAB
4113,Intelligent database
4114,Factor regression model
4115,Artificial intelligence systems integration
4116,GreenPeak Technologies
4117,ISO 6385
4118,Analysis
4119,Bias frame
4120,Human–computer information retrieval
4121,Stan Winston
4122,Fractal compression
4123,Infitec
4124,Auditory display
4125,PoolParty Semantic Suite
4126,Kartvelian languages
4127,Color theory
4128,Urban informatics
4129,Anti-unification (computer science)
4130,Deep Instinct
4131,Perceptual control theory
4132,NES Advantage
4133,Michael Georgeff
4134,Stanford/ITS character set
4135,Ugly duckling theorem
4136,Simpsorama
4137,Ontogame
4138,Dictionary writing system
4139,TCEC Season 16
4140,H.239
4141,Feudal Alloy
4142,Alureon
4143,Inverse dynamics
4144,Power Chess
4145,Document processing
4146,Stefan Decker
4147,The Amazing Spider-Man (2012 video game)
4148,Adam (robot)
4149,Pyronano
4150,Free-form deformation
4151,Miguel Nicolelis
4152,Culdcept
4153,MontyLingua
4154,Life 3.0
4155,Intelligent decision support system
4156,Digital Revolution Studios
4157,GoMentum Station
4158,Siddharth Batra
4159,Yeniseian languages
4160,Trifocal tensor
4161,Chording
4162,Intel 8255
4163,MatterHackers
4164,Slider (BEAM)
4165,Turing Institute
4166,Phosphoryl group
4167,Aardvark (search engine)
4168,PlayStation Mouse
4169,Dasher (software)
4170,Machine translation
4171,World Championship Poker
4172,ΛProlog
4173,Lighting control system
4174,Enol ether
4175,Ghost in the Shell (manga)
4176,Spatial contextual awareness
4177,Coco (robot)
4178,Artificial immune system
4179,Quaternions and spatial rotation
4180,John McCaskill
4181,Berta languages
4182,Sebastian Finsterwalder
4183,BioWall
4184,Data Applied
4185,Abtew Method
4186,Monoidal t-norm logic
4187,OpenWebNet
4188,"Carnation, Lily, Lily, Rose"
4189,Warren Sturgis McCulloch
4190,Non-Cooperative Target Recognition
4191,Index of home automation articles
4192,Toledo Nanochess
4193,Jan-Christoph Borchardt
4194,Adelbrecht
4195,Micromechanical Flying Insect
4196,Eldon Tyrell
4197,RoboLogix
4198,Ronald W. Schafer
4199,NEPOMUK (software)
4200,Least squares adjustment
4201,POKEY
4202,Computational Intelligence (journal)
4203,Alan Kay
4204,Michael Jones (scientist)
4205,Cyberpunk 2077
4206,Rule Interchange Format
4207,Confirmation bias
4208,In His Image
4209,Pikuniku
4210,Mindnet
4211,Monochrome monitor
4212,Intel 8259
4213,Lisa Strausfeld
4214,CMC-7
4215,.ptx
4216,DualShock
4217,Colony (TV series)
4218,CyberTracker (film)
4219,Peter Nelson (researcher)
4220,Word lists by frequency
4221,Metropolis (2001 film)
4222,FORR
4223,Package handle
4224,Eagles Guidelines
4225,Dcraw
4226,Nearest-neighbor interpolation
4227,ALTQ
4228,Robot kit
4229,Sensibo
4230,ADA Signs
4231,Nuro
4232,.jpg
4233,The Palace (computer program)
4234,Virtual reality simulator
4235,Alien Resurrection
4236,Tado°
4237,Herbert Gelernter
4238,4D printing
4239,Dynamic angiothermography
4240,Mathias Feist
4241,Attentive user interface
4242,Speech processing
4243,Frame grabber
4244,François Pachet
4245,FOAF (ontology)
4246,Medical animation
4247,Video content analysis
4248,Communalness
4249,A Miracle of Science
4250,Lost City (Stargate SG-1)
4251,SSA22 Protocluster
4252,Autofac
4253,Learner-generated context
4254,Future of Go Summit
4255,Amazo
4256,Kamen Rider Ex-Aid
4257,Perceptual Speech Quality Measure
4258,Kilobot
4259,Remote sensing
4260,Alan Bundy
4261,International Community for Auditory Display
4262,Osmosis (TV series)
4263,Elongatedness
4264,Ear-EEG
4265,Eyewire
4266,Robotic governance
4267,System console
4268,NimbRo
4269,Defuzzification
4270,Ames Stereo Pipeline
4271,Orange (software)
4272,Floyd–Steinberg dithering
4273,Vidyo
4274,CyberCode
4275,Low-discrepancy sequence
4276,Unreal City
4277,.cr2
4278,Topo (robot)
4279,Facial expression
4280,Text Analysis Portal for Research
4281,Principal variation search
4282,Fluency Voice Technology
4283,Code 8 (2016 film)
4284,Musculoskeletal disorder
4285,Simple HTML Ontology Extensions
4286,VXL
4287,Interaction Design Foundation
4288,Woody Bledsoe
4289,LinguaSys
4290,Cardinal tree
4291,ODIN Technologies
4292,L-1 Identity Solutions
4293,Adaptive partition scheduler
4294,Data pack
4295,Mouseware
4296,Occupancy grid mapping
4297,JBIG2
4298,Robot Battle
4299,Self-Portrait in a Group of Friends
4300,Gary Drescher
4301,Havok (software)
4302,Jean-Eugène Robert-Houdin
4303,TRACE (psycholinguistics)
4304,Thioester
4305,Death Match (Child novel)
4306,Non-silicon robot
4307,Prefrontal cortex basal ganglia working memory
4308,Gateway (novel)
4309,Window manager
4310,Blondie24
4311,Cu (Unix utility)
4312,Intel 8282
4313,Specularity
4314,Ian Horrocks
4315,William Herbert Sheldon
4316,Gigabyte GSmart G1305 Boston
4317,Semantic computing
4318,Modernizr
4319,Mokken scale
4320,Bubblegum Crisis
4321,Guarded Command Language
4322,The Family of Philip V (1743)
4323,Hosaka–Cohen transformation
4324,Bridget Karlin
4325,North Bougainville languages
4326,Automated reasoning
4327,Ontology language
4328,Planner (programming language)
4329,Manav (robot)
4330,The Stories of Ibis
4331,Zeroth (software)
4332,Transkribus
4333,History of virtual learning environments in the 1990s
4334,SemanticGov
4335,Film colorization
4336,DeepFace
4337,Centre de Morphologie Mathématique
4338,Virtual engineering
4339,Pokémon Pikachu
4340,Maillardet's automaton
4341,Radial basis function kernel
4342,Campaign to Stop Killer Robots
4343,IMVU
4344,Predictive text
4345,.cin
4346,Star Trek Generations
4347,Middleware for Robotic Applications
4348,Lise Getoor
4349,.png
4350,Air-Walker
4351,Robotica (TV series)
4352,Harris Corner Detector
4353,Allen (robot)
4354,Expected utility hypothesis
4355,V-business
4356,Max Headroom
4357,SmartScore
4358,ALLPlayer
4359,MIT Computer Science and Artificial Intelligence Laboratory
4360,CoroBot
4361,Joëlle Coutaz
4362,Jürgen Schmidhuber
4363,Industrial 2 of 5
4364,Alacalufan languages
4365,Omni-ID
4366,The Washington Family
4367,Leichte Sprache
4368,Unimodality
4369,Ramesh Jain
4370,Rich Donovan
4371,International Imaging Industry Association
4372,Isocyanate
4373,Information bottleneck method
4374,Panama remote controlled vehicle
4375,Satomi Hakase
4376,DirectDraw Surface
4377,"I Have No Mouth, and I Must Scream (video game)"
4378,Michael Apter
4379,Model-free (reinforcement learning)
4380,The Mechanical Man
4381,Irene Greif
4382,Reification (computer science)
4383,Fermi filter
4384,International Conference on Computational Intelligence Methods for Bioinformatics and Biostatistics
4385,Barcode library
4386,Linotte
4387,Ember (company)
4388,Outline of object recognition
4389,Gorilla (advertisement)
4390,VRML
4391,The Unknown Photographer
4392,Voice Finger
4393,Clonal selection algorithm
4394,P.A.M.E.L.A.
4395,Automated border control system
4396,3G adoption
4397,Gulf of execution
4398,HK-47
4399,Filter quantifier
4400,Ugly Lies the Bone
4401,Genetic significant dose
4402,FastICA
4403,Virtual Woman
4404,ACM/IEEE Virtual Reality International Conference
4405,Surface Detail
4406,Exception that proves the rule
4407,Aperiodic finite state automaton
4408,Visual hierarchy
4409,Methbot
4410,FatKat (investment software)
4411,Extended Kalman filter
4412,LG Optimus 3D
4413,SPARQCode
4414,Closed-world assumption
4415,Robot Jox
4416,EuResist
4417,Common-method variance
4418,Edward H. Shortliffe
4419,Qiang Yang
4420,Ela Darling
4421,Quantico (novel)
4422,Monster Retsuden Oreca Battle
4423,Nolot
4424,Blended space
4425,R-CAST
4426,Transaction logic
4427,Leia (company)
4428,Pitch (music)
4429,Color vision
4430,Ricky Ricotta's Mighty Robot (series)
4431,Whyville
4432,Default logic
4433,Self-organizing map
4434,.NET Gadgeteer
4435,Enhanced Variable Rate Codec
4436,Recoil (video game)
4437,First-order predicate
4438,Miburi
4439,Enactive interfaces
4440,Spinning mirror system
4441,Moiré Phase Tracking
4442,Omron Adept
4443,Bing Vision
4444,Linguistics Research Center at UT Austin
4445,Progressive Graphics File
4446,Wavelet
4447,Aude Oliva
4448,Arale Norimaki
4449,It! The Living Colossus
4450,Off-line programming (robotics)
4451,Mivar-based approach
4452,Pandorabots
4453,The Foo Show
4454,Google Assistant
4455,Sleep–wake activity inventory
4456,Pathfinding
4457,Contactless smart card
4458,Axonometric projection
4459,Kirobo
4460,Rolf Pfeifer
4461,Humans.txt
4462,They're Made Out of Meat
4463,Trigonometric interpolation
4464,Vectorman
4465,Coreflood
4466,Kar-go
4467,Dexter Industries
4468,Chessmaster 2000
4469,Amazon Rekognition
4470,NeoSpeech
4471,Tribe Flood Network
4472,Ranjit Makkuni
4473,Aerial photography
4474,Siouan languages
4475,ASCII
4476,Kia Uvo
4477,Point-and-shoot interface
4478,Arse Elektronika
4479,Extant (TV series)
4480,Total conversation
4481,Digital 3D
4482,Multiview Video Coding
4483,Eigengrau
4484,Knowledge representation and reasoning
4485,Computational intelligence
4486,Information Coding Classification
4487,Family Card Games
4488,Metaballs
4489,Bush hid the facts
4490,X-ray motion analysis
4491,Finite-state machine
4492,Scout (autonomous boat)
4493,Missing fundamental
4494,Job shop scheduling
4495,Event stream processing
4496,USB video device class
4497,Laurence Devillers
4498,Adobe Atmosphere
4499,Life-time of correlation
4500,Prisma (app)
4501,Toys (film)
4502,Fallen (Transformers)
4503,Extinction (2018 film)
4504,U-Force
4505,Periodic sequence
4506,Time travel debugging
4507,Survival Research Laboratories
4508,Computer chess
4509,Oxblood
4510,WEMO
4511,TÜBİTAK National Observatory
4512,TerraMax
4513,Sprout (computer)
4514,Czech National Corpus
4515,Shelia Guberman
4516,Graffiti 2
4517,Royal stars
4518,Form (HTML)
4519,Cognio
4520,Micro Cornucopia
4521,Doctor Weil (Mega Man Zero)
4522,Remote control locomotive
4523,Organic photorefractive materials
4524,Vector Field Histogram
4525,Trax Retail
4526,Allen Newell
4527,Umoove
4528,Pocket PC
4529,Mars Pathfinder
4530,Rehabilitation robotics
4531,Yummly
4532,Milestones (video game)
4533,RoboMaster
